Words,Frequency,Agency
China,153,Reuters
case,75,Reuters
Trump,26,Reuters
outbreak,69,Reuters
health,65,Reuters
New York,64,Reuters
report,39,Reuters
spread,50,Reuters
Wuhan,41,Reuters
test,29,Reuters
market,82,Reuters
travel,32,Reuters
world,38,Reuters
weeks,43,Reuters
stock,68,Reuters
death,33,Reuters
global,63,Reuters
state,6,Reuters
official,12,Reuters
infection,15,Reuters
president,7,Reuters
fall/fell,60,Reuters
points,52,Reuters
patient,11,Reuters
day,20,Reuters
fears,34,Reuters
american,8,Reuters
confirm,15,Reuters
economy,30,Reuters
hospital,5,Reuters
pandemic,12,Reuters
symptoms,6,Reuters
doctor,3,Reuters
million,27,Reuters
oil,40,Reuters
SP 500,39,Reuters
korea,14,Reuters
public,5,Reuters
work,13,Reuters
rose,36,Reuters
cuts,28,Reuters
question,2,Reuters
passengers,9,Reuters
quarantine,4,Reuters
response,3,Reuters
warned,13,Reuters
flight,11,Reuters
NASDAQ,32,Reuters
ship,5,Reuters
sick,2,Reuters
city,13,Reuters
south,14,Reuters
workers,7,Reuters
Italy,20,Reuters
rate,18,Reuters
SARS,9,Reuters
medical,10,Reuters
risk,8,Reuters
cruise,4,Reuters
mask,6,Reuters
toll,14,Reuters
treat,1,Reuters
CDC,5,Reuters
positive,6,Reuters
airlines,13,Reuters
index,26,Reuters
number,7,Reuters
billion,17,Reuters
emergency,8,Reuters
stay,2,Reuters
Washington,8,Reuters
family,0,Reuters
Japan,9,Reuters
need,1,Reuters
senate,5,Reuters
stimulus,17,Reuters
countries,12,Reuters
europe,14,Reuters
country,0,Reuters
member,2,Reuters
supply,12,Reuters
face,5,Reuters
wash,0,Reuters
help,7,Reuters
national,4,Reuters
toilet,0,Reuters
crisis,6,Reuters
crude,19,Reuters
declares,8,Reuters
disease,8,Reuters
growth,13,Reuters
investors,17,Reuters
media,2,Reuters
shares,18,Reuters
social,1,Reuters
price,13,Reuters
room,0,Reuters
separate,0,Reuters
taken,0,Reuters
caregiver,0,Reuters
democrats,1,Reuters
federal,6,Reuters
flu,0,Reuters
outside,9,Reuters
severe,4,Reuters
vaccine,7,Reuters
close,9,Reuters
evacuees,8,Reuters
illness,0,Reuters
Iran,5,Reuters
production,12,Reuters
right,0,Reuters
woman,2,Reuters
air,6,Reuters
businesses,3,Reuters
California,2,Reuters
employee,9,Reuters
panic,5,Reuters
statement,5,Reuters
transmission,4,Reuters
bill,4,Reuters
citizens,6,Reuters
Dow,11,Reuters
republicans,5,Reuters
respiratory,3,Reuters
Sanders,2,Reuters
"ventilators, ",3,Reuters
write,0,Reuters
administration,2,Reuters
briefing,0,Reuters
international,6,Reuters
OPEC,13,Reuters
press,0,Reuters
protective,0,Reuters
restrictions,1,Reuters
sign,2,Reuters
airport,4,Reuters
order,1,Reuters
Pelosi,2,Reuters
really,2,Reuters
calls,2,Reuters
control,2,Reuters
county,1,Reuters
drug,3,Reuters
Hong Kong,4,Reuters
Princess,1,Reuters
science,1,Reuters
scientists,2,Reuters
system,0,Reuters
team,1,Reuters
thousands,1,Reuters
announce,0,Reuters
democratic,2,Reuters
department,0,Reuters
free/freedom,2,Reuters
Hydroxychloroquine,0,Reuters
suspected,2,Reuters
trial,1,Reuters
experts,3,Reuters
foreign,2,Reuters
gear,1,Reuters
impeachment,0,Reuters
China,86,NYTimes
case,53,NYTimes
Trump,52,NYTimes
outbreak,25,NYTimes
health,31,NYTimes
New York,51,NYTimes
report,22,NYTimes
spread,33,NYTimes
Wuhan,33,NYTimes
test,42,NYTimes
market,11,NYTimes
travel,26,NYTimes
world,22,NYTimes
weeks,25,NYTimes
stock,9,NYTimes
death,26,NYTimes
global,8,NYTimes
state,37,NYTimes
official,16,NYTimes
infection,18,NYTimes
president,18,NYTimes
fall/fell,2,NYTimes
points,3,NYTimes
patient,18,NYTimes
day,14,NYTimes
fears,7,NYTimes
american,13,NYTimes
confirm,7,NYTimes
economy,6,NYTimes
hospital,18,NYTimes
pandemic,17,NYTimes
symptoms,31,NYTimes
doctor,19,NYTimes
million,6,NYTimes
oil,1,NYTimes
SP 500,2,NYTimes
korea,11,NYTimes
