,NYTimes,Fox News,Total,X,Y
China,86,114,200,0.43,0.57
Trump,52,85,137,0.379562044,0.620437956
outbreak,25,67,92,0.27173913,0.72826087
health,31,62,93,0.333333333,0.666666667
New York,51,20,71,0.718309859,0.281690141
spread,33,26,59,0.559322034,0.440677966
Wuhan,33,35,68,0.485294118,0.514705882
test,42,33,75,0.56,0.44
market,11,6,17,0.647058824,0.352941176
travel,26,36,62,0.419354839,0.580645161
world,22,28,50,0.44,0.56
weeks,25,19,44,0.568181818,0.431818182
stock,9,5,14,0.642857143,0.357142857
death,26,22,48,0.541666667,0.458333333
global,8,5,13,0.615384615,0.384615385
state,37,27,64,0.578125,0.421875
official,16,39,55,0.290909091,0.709090909
infection,18,33,51,0.352941176,0.647058824
president,18,40,58,0.310344828,0.689655172
patient,18,21,39,0.461538462,0.538461538
fears,7,4,11,0.636363636,0.363636364
american,13,22,35,0.371428571,0.628571429
confirm,7,21,28,0.25,0.75
economy,6,7,13,0.461538462,0.538461538
hospital,18,20,38,0.473684211,0.526315789
pandemic,17,14,31,0.548387097,0.451612903
symptoms,31,6,37,0.837837838,0.162162162
doctor,19,20,39,0.487179487,0.512820513
million,6,9,15,0.4,0.6
Korea,11,13,24,0.458333333,0.541666667
public,15,17,32,0.46875,0.53125
work,14,10,24,0.583333333,0.416666667
question,28,4,32,0.875,0.125
passengers,6,18,24,0.25,0.75
quarantine,11,18,29,0.379310345,0.620689655
response,13,17,30,0.433333333,0.566666667
warned,14,6,20,0.7,0.3
flight,1,20,21,0.047619048,0.952380952
ship,10,17,27,0.37037037,0.62962963
sick,27,3,30,0.9,0.1
city,9,9,18,0.5,0.5
south,9,8,17,0.529411765,0.470588235
workers,11,13,24,0.458333333,0.541666667
Italy,6,4,10,0.6,0.4
rate,12,0,12,1,0
SARS,12,9,21,0.571428571,0.428571429
medical,5,14,19,0.263157895,0.736842105
risk,13,8,21,0.619047619,0.380952381
cruise,6,18,24,0.25,0.75
mask,16,6,22,0.727272727,0.272727273
toll,6,8,14,0.428571429,0.571428571
treat,21,6,27,0.777777778,0.222222222
CDC,8,14,22,0.363636364,0.636363636
positive,7,14,21,0.333333333,0.666666667
airlines,4,9,13,0.307692308,0.692307692
number,9,10,19,0.473684211,0.526315789
billion,3,5,8,0.375,0.625
emergency,5,12,17,0.294117647,0.705882353
stay,13,10,23,0.565217391,0.434782609
Washington,11,6,17,0.647058824,0.352941176
family,20,4,24,0.833333333,0.166666667
Japan,3,12,15,0.2,0.8
need,13,10,23,0.565217391,0.434782609
senate,2,17,19,0.105263158,0.894736842
stimulus,1,6,7,0.142857143,0.857142857
countries,5,6,11,0.454545455,0.545454545
europe,8,1,9,0.888888889,0.111111111
country,9,13,22,0.409090909,0.590909091
member,19,1,20,0.95,0.05
supply,6,4,10,0.6,0.4
face,10,6,16,0.625,0.375
wash,19,2,21,0.904761905,0.095238095
help,8,5,13,0.615384615,0.384615385
national,7,9,16,0.4375,0.5625
crisis,6,7,13,0.461538462,0.538461538
declares,4,7,11,0.363636364,0.636363636
disease,5,6,11,0.454545455,0.545454545
media,5,12,17,0.294117647,0.705882353
social,11,7,18,0.611111111,0.388888889
room,17,1,18,0.944444444,0.055555556
separate,18,0,18,1,0
taken,15,3,18,0.833333333,0.166666667
caregiver,17,0,17,1,0
democrats,1,15,16,0.0625,0.9375
federal,5,6,11,0.454545455,0.545454545
flu,11,6,17,0.647058824,0.352941176
outside,5,3,8,0.625,0.375
severe,9,4,13,0.692307692,0.307692308
vaccine,3,7,10,0.3,0.7
close,5,2,7,0.714285714,0.285714286
evacuees,1,7,8,0.125,0.875
illness,6,10,16,0.375,0.625
Iran,2,9,11,0.181818182,0.818181818
right,10,6,16,0.625,0.375
businesses,2,10,12,0.166666667,0.833333333
California,5,8,13,0.384615385,0.615384615
employee,1,5,6,0.166666667,0.833333333
panic,5,5,10,0.5,0.5
statement,4,6,10,0.4,0.6
transmission,5,6,11,0.454545455,0.545454545
bill,2,8,10,0.2,0.8
citizens,6,2,8,0.75,0.25
republicans,2,7,9,0.222222222,0.777777778
respiratory,3,8,11,0.272727273,0.727272727
Sanders,4,8,12,0.333333333,0.666666667
ventilators,8,3,11,0.727272727,0.272727273
write,13,1,14,0.928571429,0.071428571
administration,4,7,11,0.363636364,0.636363636
briefing,11,2,13,0.846153846,0.153846154
international,1,6,7,0.142857143,0.857142857
press,3,10,13,0.230769231,0.769230769
protective,8,5,13,0.615384615,0.384615385
restrictions,5,7,12,0.416666667,0.583333333
sign,7,4,11,0.636363636,0.363636364
airport,3,5,8,0.375,0.625
order,4,7,11,0.363636364,0.636363636
Pelosi,0,10,10,0,1
calls,1,8,9,0.111111111,0.888888889
control,4,5,9,0.444444444,0.555555556
drug,2,6,8,0.25,0.75
Hong Kong,0,7,7,0,1
Princess,2,8,10,0.2,0.8
science,9,0,9,1,0
scientists,6,2,8,0.75,0.25
system,7,3,10,0.7,0.3
team,6,3,9,0.666666667,0.333333333
thousands,6,3,9,0.666666667,0.333333333
announce,2,7,9,0.222222222,0.777777778
democratic,1,6,7,0.142857143,0.857142857
department,0,9,9,0,1
free/freedom,6,1,7,0.857142857,0.142857143
Hydroxychloroquine,1,8,9,0.111111111,0.888888889
trial,3,5,8,0.375,0.625
experts,2,3,5,0.4,0.6
foreign,1,5,6,0.166666667,0.833333333
gear,5,2,7,0.714285714,0.285714286
impeachment,2,6,8,0.25,0.75
