,Reuters,NYTimes,Total,X,Y
China,153,86,239,0.640167364,0.359832636
Trump,26,52,78,0.333333333,0.666666667
outbreak,69,25,94,0.734042553,0.265957447
health,65,31,96,0.677083333,0.322916667
New York,64,51,115,0.556521739,0.443478261
spread,50,33,83,0.602409639,0.397590361
Wuhan,41,33,74,0.554054054,0.445945946
test,29,42,71,0.408450704,0.591549296
market,82,11,93,0.88172043,0.11827957
travel,32,26,58,0.551724138,0.448275862
world,38,22,60,0.633333333,0.366666667
stock,68,9,77,0.883116883,0.116883117
death,33,26,59,0.559322034,0.440677966
global,63,8,71,0.887323944,0.112676056
state,6,37,43,0.139534884,0.860465116
official,12,16,28,0.428571429,0.571428571
infection,15,18,33,0.454545455,0.545454545
president,7,18,25,0.28,0.72
fall/fell,60,2,62,0.967741935,0.032258065
points,52,3,55,0.945454545,0.054545455
patient,11,18,29,0.379310345,0.620689655
fears,34,7,41,0.829268293,0.170731707
american,8,13,21,0.380952381,0.619047619
confirm,15,7,22,0.681818182,0.318181818
economy,30,6,36,0.833333333,0.166666667
hospital,5,18,23,0.217391304,0.782608696
pandemic,12,17,29,0.413793103,0.586206897
symptoms,6,31,37,0.162162162,0.837837838
doctor,3,19,22,0.136363636,0.863636364
million,27,6,33,0.818181818,0.181818182
oil,40,1,41,0.975609756,0.024390244
SP 500,39,2,41,0.951219512,0.048780488
Korea,14,11,25,0.56,0.44
public,5,15,20,0.25,0.75
work,13,14,27,0.481481481,0.518518519
rose,36,0,36,1,0
cuts,28,3,31,0.903225806,0.096774194
question,2,28,30,0.066666667,0.933333333
passengers,9,6,15,0.6,0.4
quarantine,4,11,15,0.266666667,0.733333333
response,3,13,16,0.1875,0.8125
warned,13,14,27,0.481481481,0.518518519
flight,11,1,12,0.916666667,0.083333333
NASDAQ,32,0,32,1,0
ship,5,10,15,0.333333333,0.666666667
sick,2,27,29,0.068965517,0.931034483
city,13,9,22,0.590909091,0.409090909
south,14,9,23,0.608695652,0.391304348
workers,7,11,18,0.388888889,0.611111111
Italy,20,6,26,0.769230769,0.230769231
rate,18,12,30,0.6,0.4
SARS,9,12,21,0.428571429,0.571428571
medical,10,5,15,0.666666667,0.333333333
risk,8,13,21,0.380952381,0.619047619
cruise,4,6,10,0.4,0.6
mask,6,16,22,0.272727273,0.727272727
toll,14,6,20,0.7,0.3
treat,1,21,22,0.045454545,0.954545455
CDC,5,8,13,0.384615385,0.615384615
positive,6,7,13,0.461538462,0.538461538
airlines,13,4,17,0.764705882,0.235294118
index,26,0,26,1,0
number,7,9,16,0.4375,0.5625
billion,17,3,20,0.85,0.15
emergency,8,5,13,0.615384615,0.384615385
stay,2,13,15,0.133333333,0.866666667
Washington,8,11,19,0.421052632,0.578947368
family,0,20,20,0,1
Japan,9,3,12,0.75,0.25
need,1,13,14,0.071428571,0.928571429
senate,5,2,7,0.714285714,0.285714286
stimulus,17,1,18,0.944444444,0.055555556
countries,12,5,17,0.705882353,0.294117647
Europe,14,8,22,0.636363636,0.363636364
country,0,9,9,0,1
member,2,19,21,0.095238095,0.904761905
supply,12,6,18,0.666666667,0.333333333
face,5,10,15,0.333333333,0.666666667
wash,0,19,19,0,1
help,7,8,15,0.466666667,0.533333333
national,4,7,11,0.363636364,0.636363636
crisis,6,6,12,0.5,0.5
crude,19,0,19,1,0
declares,8,4,12,0.666666667,0.333333333
disease,8,5,13,0.615384615,0.384615385
growth,13,5,18,0.722222222,0.277777778
investors,17,1,18,0.944444444,0.055555556
media,2,5,7,0.285714286,0.714285714
shares,18,0,18,1,0
social,1,11,12,0.083333333,0.916666667
price,13,1,14,0.928571429,0.071428571
room,0,17,17,0,1
separate,0,18,18,0,1
taken,0,15,15,0,1
caregiver,0,17,17,0,1
federal,6,5,11,0.545454545,0.454545455
flu,0,11,11,0,1
outside,9,5,14,0.642857143,0.357142857
severe,4,9,13,0.307692308,0.692307692
vaccine,7,3,10,0.7,0.3
close,9,5,14,0.642857143,0.357142857
evacuees,8,1,9,0.888888889,0.111111111
illness,0,6,6,0,1
Iran,5,2,7,0.714285714,0.285714286
production,12,3,15,0.8,0.2
right,0,10,10,0,1
air,6,2,8,0.75,0.25
businesses,3,2,5,0.6,0.4
California,2,5,7,0.285714286,0.714285714
employee,9,1,10,0.9,0.1
panic,5,5,10,0.5,0.5
statement,5,4,9,0.555555556,0.444444444
transmission,4,5,9,0.444444444,0.555555556
bill,4,2,6,0.666666667,0.333333333
citizens,6,6,12,0.5,0.5
Dow,11,2,13,0.846153846,0.153846154
republicans,5,2,7,0.714285714,0.285714286
respiratory,3,3,6,0.5,0.5
Sanders,2,4,6,0.333333333,0.666666667
ventilators,3,8,11,0.272727273,0.727272727
write,0,13,13,0,1
administration,2,4,6,0.333333333,0.666666667
briefing,0,11,11,0,1
international,6,1,7,0.857142857,0.142857143
OPEC,13,0,13,1,0
protective,0,8,8,0,1
restrictions,1,5,6,0.166666667,0.833333333
sign,2,7,9,0.222222222,0.777777778
airport,4,3,7,0.571428571,0.428571429
control,2,4,6,0.333333333,0.666666667
drug,3,2,5,0.6,0.4
science,1,9,10,0.1,0.9
scientists,2,6,8,0.25,0.75
system,0,7,7,0,1
team,1,6,7,0.142857143,0.857142857
thousands,1,6,7,0.142857143,0.857142857
free/freedom,2,6,8,0.25,0.75
experts,3,2,5,0.6,0.4
gear,1,5,6,0.166666667,0.833333333
