Words,Reuters,NYTimes,Fox News,The Guardian,Breitbart
China,153,86,114,107,206
Trump,26,52,85,56,67
outbreak,69,25,67,43,31
health,65,31,62,84,58
New York,64,51,20,5,12
spread,50,33,26,23,42
Wuhan,41,33,35,56,62
test,29,42,33,40,26
market,82,11,6,14,2
travel,32,26,36,19,32
world,38,22,28,36,23
stock,68,9,5,1,4
death,33,26,22,24,17
global,63,8,5,13,13
state,6,37,27,14,26
official,12,16,39,11,27
infection,15,18,33,25,11
fall/fell,60,2,0,4,2
points,52,3,0,2,1
patient,11,18,21,21,20
fears,34,7,4,7,7
american,8,13,22,13,25
economy,30,6,7,20,15
hospital,5,18,20,22,23
pandemic,12,17,14,21,12
symptoms,6,31,6,23,6
doctor,3,19,20,19,12
million,27,6,9,7,19
oil,40,1,0,2,1
SP 500,39,2,0,0,0
korea,14,11,13,2,6
public,5,15,17,22,16
work,13,14,10,17,15
rose,36,0,0,2,3
cuts,28,3,3,4,4
question,2,28,4,6,1
passengers,9,6,18,13,3
quarantine,4,11,18,13,10
response,3,13,17,11,12
warned,13,14,6,9,6
flight,11,1,20,3,8
NASDAQ,32,0,0,0,0
ship,5,10,17,6,2
sick,2,27,3,3,4
city,13,9,9,12,15
south,14,9,8,6,7
workers,7,11,13,19,12
Italy,20,6,4,12,6
rate,18,12,0,5,7
SARS,9,12,9,13,7
medical,10,5,14,15,14
risk,8,13,8,7,6
cruise,4,6,18,6,1
mask,6,16,6,14,9
toll,14,6,8,4,4
treat,1,21,6,7,3
CDC,5,8,14,0,10
positive,6,7,14,7,3
airlines,13,4,9,5,2
index,26,0,0,1,0
number,7,9,10,8,17
billion,17,3,5,2,1
emergency,8,5,12,7,8
stay,2,13,10,14,2
Washington,8,11,6,3,6
Japan,9,3,12,7,3
senate,5,2,17,2,8
stimulus,17,1,6,2,3
countries,12,5,6,9,9
europe,14,8,1,13,4
country,0,9,13,13,16
supply,12,6,4,2,10
face,5,10,6,9,3
help,7,8,5,7,5
national,4,7,9,4,10
crisis,6,6,7,23,4
crude,19,0,0,0,0
declares,8,4,7,4,3
disease,8,5,6,24,9
growth,13,5,1,3,0
investors,17,1,1,1,0
media,2,5,12,5,26
shares,18,0,1,4,2
social,1,11,7,9,5
price,13,1,4,3,4
democrats,1,1,15,4,28
federal,6,5,6,4,6
flu,0,11,6,10,9
outside,9,5,3,6,2
severe,4,9,4,4,2
vaccine,7,3,7,9,6
close,9,5,2,14,3
evacuees,8,1,7,8,2
illness,0,6,10,5,1
Iran,5,2,9,3,3
production,12,3,1,3,3
right,0,10,6,1,9
businesses,3,2,10,4,11
California,2,5,8,0,2
employee,9,1,5,3,1
panic,5,5,5,8,7
statement,5,4,6,2,1
transmission,4,5,6,4,5
bill,4,2,8,1,13
citizens,6,6,2,2,3
Dow,11,2,1,0,0
republicans,5,2,7,3,3
respiratory,3,3,8,6,1
Sanders,2,4,8,3,3
"ventilators, ",3,8,3,3,6
administration,2,4,7,3,5
international,6,1,6,3,8
OPEC,13,0,0,0,0
press,0,3,10,0,1
protective,0,8,5,10,0
restrictions,1,5,7,2,0
sign,2,7,4,2,1
airport,4,3,5,8,1
order,1,4,7,2,8
Pelosi,2,0,10,1,15
calls,2,1,8,6,4
control,2,4,5,5,5
drug,3,2,6,5,12
Hong Kong,4,0,7,6,9
Princess,1,2,8,0,1
science,3,15,2,17,5
announce,0,2,7,5,0
democratic,2,1,6,2,3
department,0,0,9,2,5
Hydroxychloroquine,0,1,8,1,11
trial,1,3,5,1,3
experts,3,2,3,10,5
foreign,2,1,5,8,9
impeachment,0,2,6,1,4
wash,0,19,2,3,1
family,0,20,4,5,0
Twitter,2,1,5,15,10
Wildlife,0,2,2,8,0
Biden,3,1,6,0,9
