,level_0,index,Date,Newspaper,fb_sh
36,36,36,2020-01-20,Breitbart,828
44,44,44,2020-01-21,Breitbart,62
53,53,53,2020-01-22,Breitbart,981
61,61,61,2020-01-23,Breitbart,585
70,70,70,2020-01-24,Breitbart,31
77,77,77,2020-01-25,Breitbart,6
85,85,85,2020-01-26,Breitbart,767
92,92,92,2020-01-27,Breitbart,93
101,101,101,2020-01-28,Breitbart,57
109,109,109,2020-01-29,Breitbart,14
118,118,118,2020-01-30,Breitbart,14
127,127,127,2020-01-31,Breitbart,63
136,136,136,2020-02-01,Breitbart,52
145,145,145,2020-02-02,Breitbart,341
151,151,151,2020-02-03,Breitbart,244
160,160,160,2020-02-04,Breitbart,68
169,169,169,2020-02-05,Breitbart,27
178,178,178,2020-02-06,Breitbart,40
187,187,187,2020-02-07,Breitbart,1078
208,208,208,2020-02-10,Breitbart,14
217,217,217,2020-02-11,Breitbart,0
226,226,226,2020-02-12,Breitbart,0
228,228,228,2020-02-13,Breitbart,0
236,236,236,2020-02-14,Breitbart,0
243,243,243,2020-02-15,Breitbart,0
245,245,245,2020-02-16,Breitbart,0
254,254,254,2020-02-17,Breitbart,395
262,262,262,2020-02-18,Breitbart,1410
271,271,271,2020-02-19,Breitbart,254
278,278,278,2020-02-20,Breitbart,2688
287,287,287,2020-02-21,Breitbart,2680
296,296,296,2020-02-22,Breitbart,1381
304,304,304,2020-02-23,Breitbart,223
312,312,312,2020-02-24,Breitbart,4474
326,326,326,2020-02-26,Breitbart,21233
335,335,335,2020-02-27,Breitbart,48692
344,344,344,2020-02-28,Breitbart,70848
353,353,353,2020-02-29,Breitbart,4501
361,361,361,2020-03-01,Breitbart,6392
370,370,370,2020-03-02,Breitbart,20841
379,379,379,2020-03-03,Breitbart,18948
388,388,388,2020-03-04,Breitbart,6459
397,397,397,2020-03-05,Breitbart,54946
406,406,406,2020-03-06,Breitbart,133271
415,415,415,2020-03-07,Breitbart,9873
424,424,424,2020-03-08,Breitbart,9484
433,433,433,2020-03-09,Breitbart,3062
440,440,440,2020-03-10,Breitbart,5747
446,446,446,2020-03-11,Breitbart,14792
454,454,454,2020-03-12,Breitbart,47073
463,463,463,2020-03-13,Breitbart,35071
472,472,472,2020-03-14,Breitbart,33770
481,481,481,2020-03-15,Breitbart,2124
490,490,490,2020-03-16,Breitbart,5111
498,498,498,2020-03-17,Breitbart,89451
507,507,507,2020-03-18,Breitbart,47070
516,516,516,2020-03-19,Breitbart,8952
525,525,525,2020-03-20,Breitbart,4860
534,534,534,2020-03-21,Breitbart,45705
543,543,543,2020-03-22,Breitbart,145903
552,552,552,2020-03-23,Breitbart,105080
561,561,561,2020-03-24,Breitbart,153771
570,570,570,2020-03-25,Breitbart,28927
579,579,579,2020-03-26,Breitbart,14092
588,588,588,2020-03-27,Breitbart,19965
597,597,597,2020-03-28,Breitbart,11396
605,605,605,2020-03-29,Breitbart,19145
614,614,614,2020-03-30,Breitbart,43511
622,622,622,2020-03-31,Breitbart,3704
631,631,631,2020-04-01,Breitbart,42931
