,open,high,low,close,volume
2020-04-16,22.5100,22.9700,20.2500,20.8400,701189
2020-04-09,18.2400,22.6700,17.5600,22.5100,1532623
2020-04-03,22.1600,22.6551,16.8600,17.4600,928255
2020-03-27,18.4300,24.6095,17.1300,21.9200,1171351
2020-03-20,27.6700,27.9900,14.4400,18.6000,1230904
2020-03-13,37.0600,37.4200,27.2300,30.4800,882194
2020-03-06,36.4200,39.1750,36.4200,37.8900,829723
2020-02-28,37.3600,38.7700,34.9100,36.5100,839773
2020-02-21,43.7300,46.6500,38.0300,38.2700,777842
2020-02-14,43.3300,44.2600,42.9000,43.6700,400874
2020-02-07,41.9300,43.8400,41.9300,43.4900,335280
2020-01-31,40.0700,42.0800,40.0700,41.8100,543816
2020-01-24,40.9900,41.9000,40.5900,40.8000,294073
2020-01-17,41.8800,42.3200,41.0800,41.1100,376661
2020-01-10,42.1100,42.8700,41.7900,41.9400,326171
2020-01-03,42.7900,43.0200,41.8900,42.4000,379504
2019-12-27,43.7000,43.7000,42.2500,42.7200,210791
2019-12-20,43.7200,44.2600,42.1700,43.6600,555538
