Week End Date,open,high,low,close,volume
2020-04-17,2782.4600,2862.1599,2721.1699,2844.5901,23637115457
2020-04-09,2578.2800,2818.5701,2574.5701,2789.8201,27169090000
2020-04-03,2558.9800,2641.3899,2447.4900,2488.6499,30804590000
2020-03-27,2290.7100,2637.0100,2191.8601,2541.4700,37182690000
2020-03-20,2508.5901,2562.9800,2280.5200,2304.9199,41887220000
2020-03-13,2863.8899,2882.5901,2478.8601,2711.0200,40521170000
2020-03-06,2974.2800,3136.7200,2901.5400,2972.3701,29895510000
2020-02-28,3257.6101,3259.8101,2855.8401,2954.2200,31535270000
2020-02-21,3369.0400,3393.5200,3328.4500,3337.7500,15253460000
2020-02-14,3318.2800,3385.0901,3317.7700,3380.1599,18033560000
2020-02-07,3235.6599,3347.9600,3235.6599,3327.7100,19469980000
2020-01-31,3247.1599,3293.4700,3214.6799,3225.5200,19249400000
2020-01-24,3321.0300,3337.7700,3281.5300,3295.4700,15197180000
2020-01-17,3271.1299,3329.8799,3268.4299,3329.6201,18071600000
2020-01-10,3217.5500,3282.9900,3214.6399,3265.3501,17666700000
2020-01-03,3240.0901,3258.1399,3212.0300,3234.8501,12826640000
2019-12-27,3226.0500,3247.9299,3220.5100,3240.0200,8946500000
2019-12-20,3183.6299,3225.6499,3183.6299,3221.2200,22078130000
